# detuning (MHz)             polarized                 unpolarized
  -8.0241493678740738        1.9643720346653730E-002   4.1755377806889111E-003
  -8.0213828967939573        1.9737519837328674E-002   4.1952930999255081E-003
  -8.0186164257138426        1.9832010290517378E-002   4.2151935405109883E-003
  -8.0158499546337278        1.9927198514013020E-002   4.2352405303904680E-003
  -8.0130834835536131        2.0023091399246698E-002   4.2554355150346088E-003
  -8.0103170124734966        2.0119695922515789E-002   4.2757799576967574E-003
  -8.0075505413933818        2.0217019146233334E-002   4.2962753396744730E-003
  -8.0047840703132671        2.0315068220198292E-002   4.3169231605754942E-003
  -8.0020175992331524        2.0413850382887743E-002   4.3377249385882178E-003
  -7.9992511281530367        2.0513372962772048E-002   4.3586822107569588E-003
  -7.9964846570729211        2.0613643379651221E-002   4.3797965332617438E-003
  -7.9937181859928064        2.0714669146015711E-002   4.4010694817031249E-003
  -7.9909517149126907        2.0816457868429949E-002   4.4225026513917479E-003
  -7.9881852438325760        2.0919017248939908E-002   4.4440976576431007E-003
  -7.9854187727524604        2.1022355086505393E-002   4.4658561360771598E-003
  -7.9826523016723456        2.1126479278457601E-002   4.4877797429235351E-003
  -7.9798858305922300        2.1231397821980712E-002   4.5098701553316287E-003
  -7.9771193595121153        2.1337118815621368E-002   4.5321290716864469E-003
  -7.9743528884319996        2.1443650460822982E-002   4.5545582119298740E-003
  -7.9715864173518849        2.1551001063487604E-002   4.5771593178874793E-003
  -7.9688199462717693        2.1659179035566418E-002   4.5999341536013425E-003
  -7.9660534751916545        2.1768192896675680E-002   4.6228845056683811E-003
  -7.9632870041115389        2.1878051275744142E-002   4.6460121835850687E-003
  -7.9605205330314242        2.1988762912687653E-002   4.6693190200978547E-003
  -7.9577540619513085        2.2100336660114919E-002   4.6928068715601876E-003
  -7.9549875908711938        2.2212781485062529E-002   4.7164776182956397E-003
  -7.9522211197910782        2.2326106470761824E-002   4.7403331649676014E-003
  -7.9494546487109634        2.2440320818437269E-002   4.7643754409556196E-003
  -7.9466881776308478        2.2555433849136611E-002   4.7886064007384562E-003
  -7.9439217065507330        2.2671455005594570E-002   4.8130280242839989E-003
  -7.9411552354706174        2.2788393854129806E-002   4.8376423174462790E-003
  -7.9383887643905027        2.2906260086576716E-002   4.8624513123696287E-003
  -7.9356222933103870        2.3025063522251296E-002   4.8874570679001157E-003
  -7.9328558222302723        2.3144814109953737E-002   4.9126616700045280E-003
  -7.9300893511501567        2.3265521930006854E-002   4.9380672321969327E-003
  -7.9273228800700419        2.3387197196332078E-002   4.9636758959729632E-003
  -7.9245564089899263        2.3509850258563302E-002   4.9894898312522265E-003
  -7.9217899379098116        2.3633491604199443E-002   5.0155112368286152E-003
  -7.9190234668296959        2.3758131860796890E-002   5.0417423408290196E-003
  -7.9162569957495812        2.3883781798202181E-002   5.0681854011804866E-003
  -7.9134905246694656        2.4010452330825743E-002   5.0948427060859081E-003
  -7.9107240535893508        2.4138154519958342E-002   5.1217165745086309E-003
  -7.9079575825092352        2.4266899576130017E-002   5.1488093566660490E-003
  -7.9051911114291205        2.4396698861513445E-002   5.1761234345322942E-003
  -7.9024246403490048        2.4527563892371256E-002   5.2036612223503240E-003
  -7.8996581692688901        2.4659506341550456E-002   5.2314251671536777E-003
  -7.8968916981887745        2.4792538041022771E-002   5.2594177492979498E-003
  -7.8941252271086597        2.4926670984472602E-002   5.2876414830021496E-003
