imagevcoAtom,wavemeterAtom,winTotNum,atomTempX,atomTempY
6.27,20776.103,1036376.19736286,6.96925989477418e-06,2.35665003083504e-06
6.275,20776.104,1546695.25709996,7.52910267878479e-06,2.3297264071793e-06
6.28,20776.105,1780577.80851975,7.02959952580619e-06,2.57171493230891e-06
6.285,20776.106,1388334.512224,6.97334249851326e-06,2.20574528087643e-06
6.29,20776.107,1180648.33423298,6.74304391206432e-06,2.22559667258194e-06
6.295,20776.108,1495889.78910853,7.26157459707173e-06,2.28393149092126e-06
6.3,20776.11,1936108.76253817,7.66708962505921e-06,2.63784561144693e-06
6.305,20776.111,1523539.23005799,7.00655796951758e-06,2.33651667221423e-06
6.31,20776.112,2157547.16035961,6.92239587458688e-06,2.34213347446092e-06
6.315,20776.114,1465466.5571375,7.36611650900249e-06,2.42057451101974e-06
6.32,20776.115,743495.509018279,8.55634141829393e-06,2.76587102178256e-06
6.325,20776.117,660769.154467267,6.97997927925532e-06,2.15494506195035e-06
6.33,20776.117,535527.930381722,7.58169878721799e-06,2.40616189322997e-06
6.335,20776.119,382594.147228402,7.17588998726798e-06,2.48139477745177e-06
6.34,20776.12,357304.711786845,6.85948147309529e-06,2.55438661728416e-06
6.345,20776.122,326554.870709701,6.3367915542756e-06,2.33888081971088e-06
6.35,20776.122,257548.76018027,5.389830871709e-06,3.39749379775494e-06
6.355,20776.124,214244.412123464,5.64312601704342e-06,2.17200260804369e-06
6.36,20776.125,242239.531221232,7.51849943019155e-06,2.55778577042886e-06
6.365,20776.128,230087.256949569,7.62913842487045e-06,2.35961810362767e-06
6.37,20776.128,190084.16704944,5.11565012287308e-06,2.69465329189232e-06
6.375,20776.13,215649.86363447,7.73305892808086e-06,2.69941458311337e-06
6.38,20776.13,214030.301105673,7.46137099615273e-06,2.2183938659756e-06
6.385,20776.131,242164.951174562,9.00533368807684e-06,3.15440279889088e-06
6.39,20776.134,235496.783759642,6.67845406243354e-06,2.17599237778793e-06
6.395,20776.136,276949.574614358,6.75459258243454e-06,3.02765862843609e-06
6.4,20776.137,288795.281077928,5.6362409380532e-06,2.39149340290937e-06
6.405,20776.138,354556.660220484,6.7355174939971e-06,2.87001711907196e-06
6.41,20776.139,397195.425920788,6.79786211517109e-06,2.66459604459963e-06
6.415,20776.142,488059.516625236,6.93409705794862e-06,2.80328427979138e-06
6.42,20776.142,552890.926462018,7.2714739603844e-06,2.48109032117434e-06
6.425,20776.143,943043.346531311,7.30957107992279e-06,3.0122079883604e-06
6.43,20776.145,1149861.90467769,7.05473223787424e-06,2.80781667077305e-06
6.435,20776.148,2133767.57120912,7.18987630649696e-06,2.68166053923343e-06
6.44,20776.15,3355785.87476,7.80524955636908e-06,2.77262547941948e-06
6.445,20776.152,2166451.72781723,7.64730049003474e-06,2.36972352291903e-06
6.45,20776.154,1938005.68537696,7.64569708630563e-06,2.52727475729381e-06
6.455,20776.155,1735594.40162071,7.57212224151412e-06,2.49694681578519e-06
6.46,20776.158,1057782.98532304,7.61473099046772e-06,2.76233626002568e-06
6.465,20776.16,694532.814526821,7.31898018821626e-06,3.01287893344984e-06
6.47,20776.166,239885.077845176,6.17388579703812e-06,2.52389594544093e-06
6.475,20776.166,216531.839454037,6.46933176009528e-06,2.89002574952366e-06
6.48,20776.168,212237.436109319,7.85284078240888e-06,2.74597735044982e-06
6.485,20776.17,174187.189987544,5.57263912604633e-06,2.51101581704197e-06
6.49,20776.172,140415.351435756,7.66280872641285e-06,2.47682989457191e-06
6.495,20776.172,146015.262736332,7.78042989285967e-06,2.31441092742285e-06
6.5,20776.175,109017.090036999,5.17439730533452e-06,2.03714919201185e-06
6.505,20776.176,92686.8706224512,4.98922734109336e-06,1.90501637239485e-06
6.51,20776.178,86052.5270921082,6.83621529402904e-06,1.9590147971585e-06
6.515,20776.179,106680.712864165,5.75756847839524e-06,2.05983318798936e-06
6.52,20776.181,120303.64153957,1.24138455081217e-05,2.55345996777374e-06
6.525,20776.182,93718.552803636,6.01641954219242e-06,2.31852935723881e-06
6.53,20776.185,77952.8528199971,4.73734008773273e-06,1.89755408823533e-06
6.535,20776.186,79168.5666048639,1.00894434761053e-05,2.17741818280016e-06
6.54,20776.188,81122.0590805072,1.14839981000636e-05,2.56428133889709e-06
6.545,20776.189,82337.8582306062,1.82772824626119e-05,2.52297484355555e-06
6.55,20776.191,64454.0192438289,3.56298575692178e-06,1.9223959889421e-06
6.555,20776.195,411697.148375878,8.29880326440541e-06,2.42298079805207e-06
6.56,20776.198,223396.814592636,6.64652484658724e-06,2.59532562449403e-06
6.565,20776.203,164807.089834671,5.3249624640571e-06,2.448621426013e-06
6.57,20776.212,64269.0918709662,5.12133478546247e-06,2.65073191321316e-06
