 #Wavefunction nu=           2
 # R (nm)   R psi(R)    E(MHz)
  0.46178456270358803        6.8284223022403431E-015  -6.9896165107818060     
  0.47280686387321380        6.5339246950645709E-015  -6.9896165107818060     
  0.48395897766677459        6.4449851820381009E-015  -6.9896165107818060     
  0.49524089542760014        6.0775706182784158E-015  -6.9896165107818060     
  0.50665260839405601        5.7769204718596172E-015  -6.9896165107818060     
  0.51819410769936181        5.4271790361346630E-015  -6.9896165107818060     
  0.52986538437147557        5.2864966814184256E-015  -6.9896165107818060     
  0.54166642933294062        4.9871309080804727E-015  -6.9896165107818060     
  0.55359723340075029        4.8176981260254432E-015  -6.9896165107818060     
  0.56565778728617333        4.6652111321640195E-015  -6.9896165107818060     
  0.57784808159464829        4.5994633715868957E-015  -6.9896165107818060     
  0.59016810682559262        4.4528966073775890E-015  -6.9896165107818060     
  0.60261785337227736        4.3725783453780246E-015  -6.9896165107818060     
  0.61519731152166868        4.2414455203140104E-015  -6.9896165107818060     
  0.62790647145426337        4.1708610329459804E-015  -6.9896165107818060     
  0.64074532324393574        4.0330813360931437E-015  -6.9896165107818060     
  0.65371385685778938        4.0879448060288441E-015  -6.9896165107818060     
  0.66681206215598965        3.8687555412956096E-015  -6.9896165107818060     
  0.68003992889159592        3.7629168667253175E-015  -6.9896165107818060     
  0.69339744671041670        3.4716241961726905E-015  -6.9896165107818060     
  0.70688460515082230        3.3547767547849899E-015  -6.9896165107818060     
  0.72050139364360299        3.2055812200022917E-015  -6.9896165107818060     
  0.73424780151177693        3.0094245890367755E-015  -6.9896165107818060     
  0.74812381797043803        2.5877694582988758E-015  -6.9896165107818060     
  0.76212943212657669        2.3726483354881206E-015  -6.9896165107818060     
  0.77626463297891268        2.0324348630481921E-015  -6.9896165107818060     
  0.79052940941772032        1.7949129898228444E-015  -6.9896165107818060     
  0.80492375022464069        1.4523546443815512E-015  -6.9896165107818060     
  0.81944764407252568        1.2952185358349638E-015  -6.9896165107818060     
  0.83410107952523505        1.0945836991898316E-015  -6.9896165107818060     
  0.84888404503746917        9.2116986357336375E-016  -6.9896165107818060     
  0.86379652895459524        4.4302056729854602E-016  -6.9896165107818060     
  0.87883851951244485        2.1239147697672691E-016  -6.9896165107818060     
  0.89401000483713011       -4.8726210638507810E-017  -6.9896165107818060     
  0.90931097294487861       -2.0768648716860261E-016  -6.9896165107818060     
  0.92474141174181068       -2.2566426844376757E-016  -6.9896165107818060     
  0.94030130902377740       -2.4797786234346468E-016  -6.9896165107818060     
  0.95599065247616211       -2.5091090750671498E-016  -6.9896165107818060     
  0.97180942967367479       -3.9664134277522857E-016  -6.9896165107818060     
  0.98775762808016510       -4.4239333629293096E-016  -6.9896165107818060     
   1.0038352350484225       -2.9554144587418760E-016  -6.9896165107818060     
   1.0200422378199885       -3.0581957321164625E-016  -6.9896165107818060     
   1.0363786235249455       -7.6893168052435039E-017  -6.9896165107818060     
   1.0528443791817137       -1.2679347381585369E-016  -6.9896165107818060     
   1.0694394916968550        4.7677293959625931E-017  -6.9896165107818060     
   1.0861639478648630        1.3079392672368268E-016  -6.9896165107818060     
   1.1030177343679570        3.2164920021712766E-016  -6.9896165107818060     
   1.1200008377758754        1.3057517560697071E-016  -6.9896165107818060     
   1.1371132445456744        8.9064112890987850E-017  -6.9896165107818060     
   1.1543549410214962       -2.3091529569294615E-017  -6.9896165107818060     
   1.1717259134343676        6.9580090089992312E-017  -6.9896165107818060     
   1.1892261479019861       -1.0757453943913233E-016  -6.9896165107818060     
   1.2068556304285114       -3.3201311883832035E-016  -6.9896165107818060     
   1.2246143469043300       -7.2770751693163252E-016  -6.9896165107818060     
   1.2425022831058432       -8.8880368082162397E-016  -6.9896165107818060     
   1.2605194246952509       -1.1518753275444028E-015  -6.9896165107818060     
   1.2786657572203253       -1.2752122677023135E-015  -6.9896165107818060     
   1.2969412661141775       -1.4724756228821039E-015  -6.9896165107818060     
   1.3153459366950513       -1.4054871367822078E-015  -6.9896165107818060     
   1.3338797541660843       -1.5687664309587874E-015  -6.9896165107818060     
   1.3525427036150657       -1.3865832337250656E-015  -6.9896165107818060     
   1.3713347700142320       -1.2445657288274445E-015  -6.9896165107818060     
   1.3902559382200139       -7.0724292093581415E-016  -6.9896165107818060     
   1.4093061929728208       -5.0651323522561533E-016  -6.9896165107818060     
   1.4284855188967729       -3.7960565337763558E-016  -6.9896165107818060     
   1.4477939004995042       -4.1058497226995406E-016  -6.9896165107818060     
   1.4672313221718907       -1.3131477284607783E-016  -6.9896165107818060     
   1.4867977681878404        1.9714524065938820E-017  -6.9896165107818060     
   1.5064932227040111        4.4638114804955624E-017  -6.9896165107818060     
   1.5263176697596117       -4.4662483476849033E-017  -6.9896165107818060     
   1.5462710932761179        1.5601162341970423E-016  -6.9896165107818060     
   1.5663534770570577        8.1698259905813761E-017  -6.9896165107818060     
   1.5865648047877319        1.3239032229848911E-016  -6.9896165107818060     
   1.6069050600349890       -8.9447514680014211E-017  -6.9896165107818060     
   1.6273742262469639       -1.0096457080428102E-016  -6.9896165107818060     
   1.6479722867528188       -2.3201370614271277E-016  -6.9896165107818060     
   1.6686992247625005       -2.6411345529636586E-016  -6.9896165107818060     
   1.6895550233664713       -5.4614758722307250E-016  -6.9896165107818060     
   1.7105396655354588       -2.8391323075583507E-016  -6.9896165107818060     
   1.7316531341201957       -5.4033471714449045E-016  -6.9896165107818060     
